Date,Division,CPI Division,Daily Change (%)
2024-07-21,INFORMATION AND COMMUNICATION,95.2753,0.0
2024-07-21,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",103.3228,0.0
2024-07-21,"RECREATION, SPORT AND CULTURE",94.766,0.0301
2024-07-21,RESTAURANTS AND ACCOMODATION SERVICES,94.1865,0.0
2024-07-21,TRANSPORT,100.9164,0.0
2024-07-22,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",96.577,0.0
2024-07-22,CLOTHING AND FOOTWEAR,108.9508,-0.6827
2024-07-22,EDUCATION SERVICES,98.9399,0.0
2024-07-22,FOOD AND NON-ALCOHOLIC BEVERAGES,99.8008,0.0
2024-07-22,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",97.2513,0.0
2024-07-22,HEALTH,98.0543,0.0
2024-07-22,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",97.2627,0.0001
2024-07-22,INFORMATION AND COMMUNICATION,95.2753,0.0
2024-07-22,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",103.3228,0.0
2024-07-22,"RECREATION, SPORT AND CULTURE",94.766,0.0
2024-07-22,RESTAURANTS AND ACCOMODATION SERVICES,94.1865,0.0
2024-07-22,TRANSPORT,100.9163,-0.0001
2024-07-23,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",96.6118,0.036
2024-07-23,CLOTHING AND FOOTWEAR,110.7334,1.6362
2024-07-23,EDUCATION SERVICES,98.9399,0.0
2024-07-23,FOOD AND NON-ALCOHOLIC BEVERAGES,99.8008,0.0
2024-07-23,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",97.2513,0.0
2024-07-23,HEALTH,98.0543,0.0
2024-07-23,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",97.2626,-0.0001
2024-07-23,INFORMATION AND COMMUNICATION,95.2753,0.0
2024-07-23,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",103.3228,0.0
2024-07-23,"RECREATION, SPORT AND CULTURE",94.766,0.0
2024-07-23,RESTAURANTS AND ACCOMODATION SERVICES,94.1865,0.0
2024-07-23,TRANSPORT,100.9164,0.0001
2024-07-24,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",96.5075,-0.1079
2024-07-24,CLOTHING AND FOOTWEAR,108.9508,-1.6098
2024-07-24,EDUCATION SERVICES,98.9399,0.0
2024-07-24,FOOD AND NON-ALCOHOLIC BEVERAGES,99.3451,-0.4566
2024-07-24,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",97.2513,0.0
2024-07-24,HEALTH,98.0543,0.0
2024-07-24,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",97.2626,0.0
2024-07-24,INFORMATION AND COMMUNICATION,95.2753,0.0
2024-07-24,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",103.3228,0.0
2024-07-24,"RECREATION, SPORT AND CULTURE",94.766,0.0
2024-07-24,RESTAURANTS AND ACCOMODATION SERVICES,94.1865,0.0
2024-07-24,TRANSPORT,100.9164,0.0
2024-07-25,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",96.5075,0.0
2024-07-25,CLOTHING AND FOOTWEAR,108.8238,-0.1165
2024-07-25,EDUCATION SERVICES,98.9399,0.0
