product_name,product_price,date_time_scraped,product_subclass,retailer,subclass_average
ΜήλαΚίτριναDelicious1kg,2.7,2023-04-30 01:52:50.648597,Fresh or chilled fruit,SupermarketCy,0
Ακτινίδια500g,3.5,2023-04-30 01:52:50.648597,Fresh or chilled fruit,SupermarketCy,0
ΠορτοκάλιαMerlinAAA1kg,3.15,2023-04-30 01:52:50.648598,Fresh or chilled fruit,SupermarketCy,0
ΜήλαRoyalGala1kg,2.35,2023-04-30 01:52:50.648598,Fresh or chilled fruit,SupermarketCy,0
ΠορτοκάλιαΓιαΧυμό2kg,NaN,2023-04-30 01:52:50.648599,Fresh or chilled fruit,SupermarketCy,0
ΧοιρινόΚιμάςΜερί500g,3.7,2023-04-30 01:52:52.727366,Pork,SupermarketCy,0
"ΧοιρινόΜπριζόλαΛαιμός4Τεμ1,200kg",6.6,2023-04-30 01:52:52.727370,Pork,SupermarketCy,0
"ΧοιρινόΣούβλαΛαιμόςΛαπάςΜεΚόκκαλο1,1kg",8.25,2023-04-30 01:52:52.727370,Pork,SupermarketCy,0
ΧοιρινόΣεφταλιές850g,6.04,2023-04-30 01:52:53.770251,Other meat,SupermarketCy,0
ΛουκάνικαΧωριάτικα550g,5.78,2023-04-30 01:52:53.770254,Other meat,SupermarketCy,0
ΚοτόπουλοΦιλέτο850g,8.07,2023-04-30 01:52:56.164920,Poultry,SupermarketCy,0
"ΚοτόπουλοΟλόκληρο2,8kg",13.3,2023-04-30 01:52:56.164925,Poultry,SupermarketCy,0
ΑρνίΓιαΣούβλα1kg,12.95,2023-04-30 01:52:57.143949,Lamb and goat,SupermarketCy,0
ΒοδινόΚιμάς500g,5.35,2023-04-30 01:52:58.188379,Beef and veal,SupermarketCy,0
"ΤσιπούραΦρέσκιαΚαθαρισμένη3ΤεμMax1,500kg",NaN,2023-04-30 01:52:59.164605,Fresh or chilled fish,SupermarketCy,0
"LauraΕλαφρύΓάλαΜακράςΔιαρκείας1,5%1L",1.15,2023-04-30 01:53:00.137198,Preserved milk,SupermarketCy,0
MlekovitaΠλήρες3.5%ΓάλαΜακράςΔιαρκείας1L,NaN,2023-04-30 01:53:00.137202,Preserved milk,SupermarketCy,0
ΛανίτηςΕλαφρύΓάλα2L,2.93,2023-04-30 01:53:02.274475,Low fat Milk,SupermarketCy,0
"ΛανίτηςΕλαφρύΓάλα1,5L",2.35,2023-04-30 01:53:02.274479,Low fat Milk,SupermarketCy,0
ΧαραλαμπίδηςΚρίστηςDelactΓάλα1L,1.82,2023-04-30 01:53:02.274479,Low fat Milk,SupermarketCy,0
ΧαραλαμπίδηςΚρίστηςΕλαφρύΓάλα2L,3.14,2023-04-30 01:53:02.274480,Low fat Milk,SupermarketCy,0
ΧαραλαμπίδηςΚρίστηςΕλαφρύΓάλα1L,1.6,2023-04-30 01:53:02.274481,Low fat Milk,SupermarketCy,0
"ΧαραλαμπίδηςΚρίστηςΕλαφρύΓάλα1,5L",2.37,2023-04-30 01:53:02.274481,Low fat Milk,SupermarketCy,0
ΛανίτηςΠλήρεςΓάλα2L,2.93,2023-04-30 01:53:04.440676,Whole Milk,SupermarketCy,0
ΧαραλαμπίδηςΚρίστηςΠλήρεςΓάλα2L,3.14,2023-04-30 01:53:04.440679,Whole Milk,SupermarketCy,0
ΧαραλαμπίδηςΚρίστηςΣτραγγάτο1kg,4.15,2023-04-30 01:53:07.996979,Yogurt,SupermarketCy,0
ZitaΣτραγγιστό1kg,3.99,2023-04-30 01:53:07.996983,Yogurt,SupermarketCy,0
ZitaΣτραγγιστόΆπαχο0%1kg,3.99,2023-04-30 01:53:07.996984,Yogurt,SupermarketCy,0
ΧαραλαμπίδηςΚρίστηςΣτραγγάτοΆπαχο0%1kg,4.15,2023-04-30 01:53:07.996985,Yogurt,SupermarketCy,0
ΑλάμπραΠρόβειοΓιαούρτιΗΓιαγιά700g,2.87,2023-04-30 01:53:07.996985,Yogurt,SupermarketCy,0
LurpakΑνάλατοΒούτυρο250g,4.49,2023-04-30 01:53:09.186623,Butter,SupermarketCy,0
KerrygoldΑλατισμένοΒούτυρο250g,4.79,2023-04-30 01:53:09.186626,Butter,SupermarketCy,0
LurpakΑλατισμένοΒούτυρο250g,4.55,2023-04-30 01:53:09.186627,Butter,SupermarketCy,0
VitaliteLightΜαργαρίνη500g,3.69,2023-04-30 01:53:11.426470,Margarine and other vegetable fats,SupermarketCy,0
ΧαραλαμπίδηςΚρίστηςOriginalΜαργαρίνη500g,3.15,2023-04-30 01:53:11.426475,Margarine and other vegetable fats,SupermarketCy,0
